Time Serie,EU/US,SWD/US
2000-01-03,0.9847,8.443
2000-01-04,0.97,8.36
2000-01-05,0.9676,8.353
2000-01-06,0.9686,8.3675
2000-01-07,0.9714,8.415
2000-01-10,0.9754,8.449
2000-01-11,0.9688,8.397
2000-01-12,0.9727,8.418
2000-01-13,0.9737,8.417
2000-01-14,0.9874,8.474
2000-01-17,ND,ND
2000-01-18,0.988,8.468
2000-01-19,0.9886,8.487
2000-01-20,0.9869,8.468
2000-01-21,0.9901,8.493
2000-01-24,0.9981,8.526
2000-01-25,0.9959,8.521
2000-01-26,0.9989,8.5285
2000-01-27,1.0111,8.615
2000-01-28,1.0241,8.82
2000-01-31,1.0249,8.815
2000-02-01,1.0276,8.768
2000-02-02,1.0238,8.708
2000-02-03,1.0114,8.577
2000-02-04,1.0246,8.663
2000-02-07,1.0222,8.66
2000-02-08,1.014,8.595
2000-02-09,1.0087,8.544
2000-02-10,1.0137,8.585
2000-02-11,1.0155,8.608
2000-02-14,1.0222,8.679
2000-02-15,1.0169,8.68
2000-02-16,1.0161,8.6695
2000-02-17,1.0139,8.68
2000-02-18,1.0152,8.6725
2000-02-21,ND,ND
2000-02-22,0.994,8.5395
2000-02-23,0.9983,8.577
2000-02-24,1.0069,8.619
2000-02-25,1.0243,8.695
2000-02-28,1.0342,8.6895
2000-02-29,1.037,8.75
2000-03-01,1.0309,8.6865
2000-03-02,1.0396,8.805
2000-03-03,1.0397,8.815
2000-03-06,1.0413,8.7865
2000-03-07,1.046,8.804
2000-03-08,1.0443,8.851
2000-03-09,1.0326,8.7235
2000-03-10,1.0353,8.72
2000-03-13,1.0365,8.718
2000-03-14,1.0369,8.697
2000-03-15,1.0314,8.6915
2000-03-16,1.0299,8.694
2000-03-17,1.0316,8.666
2000-03-20,1.0299,8.6425
2000-03-21,1.0306,8.65
2000-03-22,1.0408,8.711
2000-03-23,1.0319,8.645
2000-03-24,1.0284,8.5775
2000-03-27,1.0368,8.6465
2000-03-28,1.0401,8.5675
2000-03-29,1.05,8.6675
2000-03-30,1.0423,8.633
2000-03-31,1.0445,8.635
2000-04-03,1.046,8.678
2000-04-04,1.043,8.691
2000-04-05,1.0366,8.6225
2000-04-06,1.0438,8.661
2000-04-07,1.0428,8.642
2000-04-10,1.043,8.61
2000-04-11,1.0426,8.634
2000-04-12,1.047,8.702
2000-04-13,1.05,8.723
2000-04-14,1.0456,8.7
2000-04-17,1.0471,8.72
2000-04-18,1.0552,8.744
2000-04-19,1.0673,8.798
2000-04-20,1.0666,8.8
2000-04-21,1.0662,8.786
2000-04-24,1.0643,8.78
2000-04-25,1.0793,8.848
2000-04-26,1.085,8.885
2000-04-27,1.101,8.9808
2000-04-28,1.1002,8.967
2000-05-01,1.0965,8.9183
2000-05-02,1.1028,8.941
2000-05-03,1.1247,9.077
2000-05-04,1.1227,9.104
2000-05-05,1.1169,9.103
2000-05-08,1.1173,9.095
2000-05-09,1.1083,9.0592
2000-05-10,1.0993,9.0575
2000-05-11,1.1085,9.16
2000-05-12,1.1013,9.092
2000-05-15,1.0943,9.063
2000-05-16,1.1046,9.103
2000-05-17,1.121,9.201
2000-05-18,1.1171,9.1323
2000-05-19,1.1178,9.1575
2000-05-22,1.1067,9.222
2000-05-23,1.1072,9.21
2000-05-24,1.0994,9.175
2000-05-25,1.1023,9.165
2000-05-26,1.0741,9.01
2000-05-29,ND,ND
2000-05-30,1.0737,9.002
2000-05-31,1.072,8.987
2000-06-01,1.0745,8.968
2000-06-02,1.0602,8.8245
2000-06-05,1.0559,8.805
2000-06-06,1.0449,8.711
2000-06-07,1.0417,8.656
2000-06-08,1.0473,8.758
2000-06-09,1.0498,8.745
2000-06-12,1.0478,8.691
2000-06-13,1.0396,8.612
2000-06-14,1.0428,8.533
2000-06-15,1.0493,8.625
2000-06-16,1.0365,8.6015
2000-06-19,1.0393,8.62
2000-06-20,1.0464,8.6425
2000-06-21,1.0576,8.719
2000-06-22,1.0641,8.805
2000-06-23,1.0686,8.85
2000-06-26,1.0659,8.891
2000-06-27,1.0589,8.8725
2000-06-28,1.0589,8.864
2000-06-29,1.051,8.822
2000-06-30,1.0477,8.821
2000-07-03,1.0498,8.7925
2000-07-04,ND,ND
2000-07-05,1.0473,8.83
2000-07-06,1.0496,8.866
2000-07-07,1.0544,8.915
2000-07-10,1.0503,8.8855
2000-07-11,1.053,8.8906
2000-07-12,1.0637,8.8925
2000-07-13,1.0708,8.941
2000-07-14,1.0668,8.898
2000-07-17,1.0694,8.968
2000-07-18,1.0727,9
2000-07-19,1.0826,9.081
2000-07-20,1.0762,9.02
2000-07-21,1.0703,8.9965
2000-07-24,1.0737,8.9825
2000-07-25,1.0648,8.944
2000-07-26,1.0624,8.946
2000-07-27,1.0717,9.0985
2000-07-28,1.0815,9.16
2000-07-31,1.0792,9.172
2000-08-01,1.0837,9.217
2000-08-02,1.0945,9.259
2000-08-03,1.106,9.335
2000-08-04,1.1019,9.246
2000-08-07,1.0983,9.1825
2000-08-08,1.1088,9.2445
2000-08-09,1.1122,9.25
2000-08-10,1.1017,9.201
2000-08-11,1.1055,9.218
2000-08-14,1.1066,9.205
2000-08-15,1.0947,9.153
2000-08-16,1.0937,9.204
2000-08-17,1.0927,9.205
2000-08-18,1.1028,9.263
2000-08-21,1.1078,9.292
2000-08-22,1.1154,9.335
2000-08-23,1.1152,9.332
2000-08-24,1.1077,9.279
2000-08-25,1.1082,9.311
2000-08-28,1.1109,9.345
2000-08-29,1.1153,9.411
2000-08-30,1.1206,9.44
2000-08-31,1.1264,9.445
2000-09-01,1.112,9.338
2000-09-04,ND,ND
2000-09-05,1.1266,9.4725
2000-09-06,1.1492,9.6575
2000-09-07,1.1442,9.56
2000-09-08,1.1542,9.6515
2000-09-11,1.1596,9.731
2000-09-12,1.1633,9.766
2000-09-13,1.1574,9.722
2000-09-14,1.1605,9.755
2000-09-15,1.1666,9.796
2000-09-18,1.1733,9.829
2000-09-19,1.1745,9.8475
2000-09-20,1.1818,9.875
2000-09-21,1.1685,9.815
2000-09-22,1.1373,9.625
2000-09-25,1.1444,9.666
2000-09-26,1.1344,9.623
2000-09-27,1.1357,9.659
2000-09-28,1.133,9.6885
2000-09-29,1.1316,9.628
2000-10-02,1.1356,9.6933
2000-10-03,1.144,9.78
2000-10-04,1.146,9.8
2000-10-05,1.1514,9.8292
2000-10-06,1.1521,9.84
2000-10-09,ND,ND
2000-10-10,1.1518,9.919
2000-10-11,1.1474,9.865
2000-10-12,1.1569,9.905
2000-10-13,1.1671,9.935
2000-10-16,1.178,10.013
2000-10-17,1.1755,10.007
2000-10-18,1.1918,10.115
2000-10-19,1.1896,10.065
2000-10-20,1.1905,10.12
2000-10-23,1.1956,10.113
2000-10-24,1.1956,10.128
2000-10-25,1.2092,10.245
2000-10-26,1.209,10.3
2000-10-27,1.1896,10.1238
2000-10-30,1.186,10.06
2000-10-31,1.1784,9.997
2000-11-01,1.165,9.892
2000-11-02,1.1636,9.912
2000-11-03,1.1609,9.915
2000-11-06,1.165,9.998
2000-11-07,1.1651,10.001
2000-11-08,1.1684,10
2000-11-09,1.1663,10.022
2000-11-10,1.1594,9.9685
2000-11-13,1.1618,10.048
2000-11-14,1.1665,10.1048
2000-11-15,1.1669,10.094
2000-11-16,1.1721,10.14
2000-11-17,1.1743,10.17
2000-11-20,1.1784,10.2136
2000-11-21,1.1823,10.301
2000-11-22,1.1872,10.302
2000-11-23,ND,ND
2000-11-24,1.193,10.36
2000-11-27,1.1765,10.2425
2000-11-28,1.17,10.1694
2000-11-29,1.1659,10.133
2000-11-30,1.1502,10.04
2000-12-01,1.1409,9.9
2000-12-04,1.1268,9.725
2000-12-05,1.1358,9.742
2000-12-06,1.1265,9.63
2000-12-07,1.1247,9.713
2000-12-08,1.1315,9.735
2000-12-11,1.1401,9.7205
